band	soil
400	0.098967
401	0.0991589
402	0.0993508
403	0.0995427
404	0.0997346
405	0.0999265
406	0.1001184
407	0.1003103
408	0.1005022
409	0.1006941
410	0.100886
411	0.1010886
412	0.1012912
413	0.1014938
414	0.1016964
415	0.101899
416	0.1021016
417	0.1023042
418	0.1025068
419	0.1027094
420	0.102912
421	0.103206
422	0.1035
423	0.103794
424	0.104088
425	0.104382
426	0.104676
427	0.10497
428	0.105264
429	0.105558
430	0.105852
431	0.1062278
432	0.1066036
433	0.1069794
434	0.1073552
435	0.107731
436	0.1081068
437	0.1084826
438	0.1088584
439	0.1092342
440	0.10961
441	0.1099479
442	0.1102858
443	0.1106237
444	0.1109616
445	0.1112995
446	0.1116374
447	0.1119753
448	0.1123132
449	0.1126511
450	0.112989
451	0.1132142
452	0.1134394
453	0.1136646
454	0.1138898
455	0.114115
456	0.1143402
457	0.1145654
458	0.1147906
459	0.1150158
460	0.115241
461	0.1153961
462	0.1155512
463	0.1157063
464	0.1158614
465	0.1160165
466	0.1161716
467	0.1163267
468	0.1164818
469	0.1166369
470	0.116792
471	0.1169435
472	0.117095
473	0.1172465
474	0.117398
475	0.1175495
476	0.117701
477	0.1178525
478	0.118004
479	0.1181555
480	0.118307
481	0.1185773
482	0.1188476
483	0.1191179
484	0.1193882
485	0.1196585
486	0.1199288
487	0.1201991
488	0.1204694
489	0.1207397
490	0.12101
491	0.1213934
492	0.1217768
493	0.1221602
494	0.1225436
495	0.122927
496	0.1233104
497	0.1236938
498	0.1240772
499	0.1244606
500	0.124844
501	0.1252885
502	0.125733
503	0.1261775
504	0.126622
505	0.1270665
506	0.127511
507	0.1279555
508	0.1284
509	0.1288445
510	0.129289
511	0.1297817
512	0.1302744
513	0.1307671
514	0.1312598
515	0.1317525
516	0.1322452
517	0.1327379
518	0.1332306
519	0.1337233
520	0.134216
521	0.1347719
522	0.1353278
523	0.1358837
524	0.1364396
525	0.1369955
526	0.1375514
527	0.1381073
528	0.1386632
529	0.1392191
530	0.139775
531	0.1404204
532	0.1410658
533	0.1417112
534	0.1423566
535	0.143002
536	0.1436474
537	0.1442928
538	0.1449382
539	0.1455836
540	0.146229
541	0.1469789
542	0.1477288
543	0.1484787
544	0.1492286
545	0.1499785
546	0.1507284
547	0.1514783
548	0.1522282
549	0.1529781
550	0.153728
551	0.1545826
552	0.1554372
553	0.1562918
554	0.1571464
555	0.158001
556	0.1588556
557	0.1597102
558	0.1605648
559	0.1614194
560	0.162274
561	0.1631839
562	0.1640938
563	0.1650037
564	0.1659136
565	0.1668235
566	0.1677334
567	0.1686433
568	0.1695532
569	0.1704631
570	0.171373
571	0.1722847
572	0.1731964
573	0.1741081
574	0.1750198
575	0.1759315
576	0.1768432
577	0.1777549
578	0.1786666
579	0.1795783
580	0.18049
581	0.181288
582	0.182086
583	0.182884
584	0.183682
585	0.18448
586	0.185278
587	0.186076
588	0.186874
589	0.187672
590	0.18847
591	0.1891788
592	0.1898876
593	0.1905964
594	0.1913052
595	0.192014
596	0.1927228
597	0.1934316
598	0.1941404
599	0.1948492
600	0.195558
601	0.1961698
602	0.1967816
603	0.1973934
604	0.1980052
605	0.198617
606	0.1992288
607	0.1998406
608	0.2004524
609	0.2010642
610	0.201676
611	0.2022345
612	0.202793
613	0.2033515
614	0.20391
615	0.2044685
616	0.205027
617	0.2055855
618	0.206144
619	0.2067025
620	0.207261
621	0.2078131
622	0.2083652
623	0.2089173
624	0.2094694
625	0.2100215
626	0.2105736
627	0.2111257
628	0.2116778
629	0.2122299
630	0.212782
631	0.2133423
632	0.2139026
633	0.2144629
634	0.2150232
635	0.2155835
636	0.2161438
637	0.2167041
